maintenance_id,vehicle_id,service_date,service_type,cost,status
M501,V103,2026-02-15,Engine,450.0,Completed
M502,V103,2026-02-28,Engine,320.0,Completed
M503,V104,2026-02-20,Brakes,210.0,Completed
M504,V101,2026-02-10,Electrical,110.0,Completed
M505,V103,2026-03-01,Transmission,850.0,In Progress
M506,V108,2026-02-12,Engine,2400.0,In Progress
M507,V108,2026-02-25,Electrical,310.0,Completed
M508,V113,2026-02-27,HVAC,520.0,In Progress
M509,V102,2026-01-15,Tires,600.0,Completed
M510,V105,2026-02-01,Brakes,150.0,Completed
M511,V106,2026-02-18,Suspension,480.0,Completed
M512,V107,2026-01-22,Electrical,95.0,Completed
M513,V109,2026-02-05,HVAC,210.0,Completed
M514,V110,2026-02-14,Transmission,180.0,Completed
M515,V113,2026-03-02,Brakes,290.0,Open
