route_id,route_name,trip_count,completed_trip_count,passenger_count,fare_revenue,avg_duration_minutes,delay_rate_pct
R01,Downtown Express,2,2,3,8.25,56.5,100.0
R03,Airport Connector,1,1,1,5.0,65.0,100.0
R13,Suburb Rapid,1,1,1,4.5,70.0,100.0
R02,Crosstown Shuttle,1,1,1,3.5,75.0,100.0
R12,Metro Loop,1,1,1,3.25,57.0,100.0
R09,Tech Corridor,1,1,1,3.0,43.0,100.0
R05,Harbor Commuter,1,1,1,2.5,37.0,100.0
R14,Campus Express,1,1,1,2.25,30.0,100.0
R08,Medical Center Direct,1,1,1,2.25,27.0,100.0
R04,University Line,1,1,1,2.25,28.0,0.0
R06,Westside Feeder,1,1,1,2.0,22.0,100.0
R10,Southside Local,1,1,1,2.0,23.0,100.0
R11,Riverfront Shuttle,1,1,1,1.75,17.0,100.0
R07,Night Owl Circulator,1,0,0,0.0,,
R15,Stadium Shuttle,0,0,0,0.0,,
