vehicle_id,model,capacity,trip_count,passenger_count,avg_utilization_pct,maintenance_cost,maintenance_count
V108,Mercedes Citaro,55,1,0,0.0,2710.0,2
V103,BYD K9,40,1,1,2.5,1620.0,3
V113,BYD K9,40,0,0,,810.0,2
V102,Volvo B7R,50,1,1,2.0,600.0,1
V106,Volvo B7R,50,1,1,2.0,480.0,1
V104,Scania K320,60,1,1,1.7,210.0,1
V109,BYD K9,40,1,1,2.5,210.0,1
V110,Volvo B7R,50,1,1,2.0,180.0,1
V105,BYD K9,40,1,1,2.5,150.0,1
V101,Volvo B7R,50,2,3,3.0,110.0,1
V107,Scania K320,60,1,1,1.7,95.0,1
V111,Scania K320,60,1,1,1.7,0.0,0
V112,Mercedes Citaro,55,1,1,1.8,0.0,0
V114,Volvo B7R,50,1,1,2.0,0.0,0
V115,Scania K320,60,1,1,1.7,0.0,0
