transaction_id,trip_id,card_id,tap_timestamp,fare_amount,payment_method,tap_hour
TX8001,T1001,C-4401,2026-03-01 07:01:15,2.75,SmartCard,7
TX8002,T1001,C-9912,2026-03-01 07:01:40,2.75,Contactless Credit,7
TX8003,T1002,C-1204,2026-03-01 08:03:10,2.75,SmartCard,8
TX8004,T1003,C-8831,2026-03-01 07:28:55,3.5,SmartCard,7
TX8005,T1004,C-5520,2026-03-01 09:12:05,5.0,Mobile Pay,9
TX8006,T1005,C-3110,2026-03-01 08:14:30,2.25,SmartCard,8
TX8007,T1006,C-7741,2026-03-01 06:44:10,2.5,Contactless Debit,6
TX8008,T1007,C-6623,2026-03-01 07:19:00,2.0,SmartCard,7
TX8009,T1009,C-9002,2026-03-01 08:29:45,2.25,SmartCard,8
TX8010,T1010,C-1109,2026-03-01 09:11:12,3.0,Mobile Pay,9
TX8011,T1011,C-4432,2026-03-01 09:59:30,2.0,SmartCard,9
TX8012,T1012,C-8811,2026-03-01 11:14:10,1.75,Contactless Credit,11
TX8013,T1013,C-2254,2026-03-01 12:05:22,3.25,SmartCard,12
TX8014,T1014,C-6789,2026-03-01 13:28:10,4.5,Mobile Pay,13
TX8015,T1015,C-1029,2026-03-01 14:16:05,2.25,SmartCard,14
