trip_id,route_id,vehicle_id,scheduled_start_time,actual_start_time,actual_end_time,status,delay_minutes,trip_duration_min
T1001,R01,V101,2026-03-01 07:00:00,2026-03-01 07:02:00,2026-03-01 07:55:00,Completed,2.0,53.0
T1002,R01,V102,2026-03-01 08:00:00,2026-03-01 08:05:00,2026-03-01 09:05:00,Completed,5.0,60.0
T1003,R02,V104,2026-03-01 07:30:00,2026-03-01 07:30:00,2026-03-01 08:45:00,Completed,0.0,75.0
T1004,R03,V103,2026-03-01 09:00:00,2026-03-01 09:15:00,2026-03-01 10:20:00,Completed,15.0,65.0
T1005,R04,V105,2026-03-01 08:15:00,2026-03-01 08:15:00,2026-03-01 08:43:00,Completed,0.0,28.0
T1006,R05,V106,2026-03-01 06:45:00,2026-03-01 06:45:00,2026-03-01 07:22:00,Completed,0.0,37.0
T1007,R06,V107,2026-03-01 07:15:00,2026-03-01 07:20:00,2026-03-01 07:42:00,Completed,5.0,22.0
T1008,R07,V108,2026-03-01 23:00:00,,,Cancelled,,
T1009,R08,V109,2026-03-01 08:30:00,2026-03-01 08:31:00,2026-03-01 08:58:00,Completed,1.0,27.0
T1010,R09,V110,2026-03-01 09:10:00,2026-03-01 09:12:00,2026-03-01 09:55:00,Completed,2.0,43.0
T1011,R10,V111,2026-03-01 10:00:00,2026-03-01 10:01:00,2026-03-01 10:24:00,Completed,1.0,23.0
T1012,R11,V112,2026-03-01 11:15:00,2026-03-01 11:15:00,2026-03-01 11:32:00,Completed,0.0,17.0
T1013,R12,V114,2026-03-01 12:00:00,2026-03-01 12:08:00,2026-03-01 13:05:00,Completed,8.0,57.0
T1014,R13,V115,2026-03-01 13:30:00,2026-03-01 13:30:00,2026-03-01 14:40:00,Completed,0.0,70.0
T1015,R14,V101,2026-03-01 14:15:00,2026-03-01 14:18:00,2026-03-01 14:48:00,Completed,3.0,30.0
